MaxAbsEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,MolWt,FpDensityMorgan1,BCUT2D_MWHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,Ipc,Kappa2,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA8,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState7,VSA_EState8,VSA_EState9,NHOHCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAromaticHeterocycles,NumHeteroatoms,NumSaturatedHeterocycles,MolLogP,Value
13.26485,0.032229412,-3.8750048,0.523834,13.878788,505.379,0.93939394,35.496784,-2.3562312,7.8871827,0.06977115,2.791856,1.5893103,21628046.0,9.148399,10.423316,0.0,0.0,10.023292,5.90718,5.9693055,4.794537,13.212335,4.305216,0.0,35.334614,66.07866,28.69823,16.14632,23.1134,50.789043,0.0,4.305216,0.0,17.861061,11.861545,0.0,5.3167887,5.6873865,0.0,23.20188,36.250782,22.988869,0.0,0.0,103.78,21.899776,23.1134,0.0,33.27716,17.98821,11.126903,46.769787,12.132734,6.066367,5.3167887,23.20188,24.196323,12.611407,1.8417611,-1.9006891,0.5559931,0.487632,-3.8750048,2.0,0.0,1.0,0.0,10.0,0.0,4.6909,5.4
14.089135,0.18663897,-3.9078033,0.34021896,12.277778,509.668,0.9444444,32.23343,-2.3305824,7.924894,-0.14372738,2.831591,2.1066608,59110590.0,11.164798,9.84339,5.7495117,6.103966,0.0,10.023292,5.9693055,4.305216,13.212335,0.0,0.0,55.306213,87.05587,6.5447564,10.58287,23.055725,21.679983,0.0,0.0,0.0,65.383514,10.849973,16.876415,9.042079,5.6873865,5.7495117,0.0,32.142353,14.817828,27.694948,11.126903,83.91,22.096563,18.318861,0.0,4.8954835,35.52938,28.674627,17.29532,19.913841,51.103046,12.132734,4.736863,11.410204,9.185271,5.875761,-0.72459936,0.51609135,11.30139,-3.9078033,1.0,0.0,0.0,0.0,7.0,0.0,6.43458,5.3
13.292391,0.013151455,-4.5282593,0.39933217,12.028571,502.514,1.0,32.2331,-2.3122177,7.8886776,-0.13719076,3.1184747,1.972018,50881136.0,9.103897,9.303963,11.4434395,0.0,10.023292,5.90718,6.1762986,4.794537,13.139892,13.171246,0.0,42.46457,41.458736,23.011133,18.929018,31.120441,26.833395,0.0,9.289194,0.0,12.721055,13.365566,16.876415,9.458958,13.171246,5.7495117,0.0,32.257645,22.744347,0.0,22.029827,77.4,27.670221,26.38358,0.0,12.238685,33.342793,18.388504,23.809631,48.530937,4.722095,0.0,4.736863,13.268634,0.64193875,1.1320817,-0.30084687,-3.6693776,-0.090175346,-2.4010818,1.0,0.0,0.0,1.0,10.0,0.0,5.0734,8.7
11.335191,0.04665734,-0.85964423,0.23289596,11.081081,500.595,0.9189189,16.478748,-2.3194897,5.6861286,-0.13818526,3.2842677,1.2348927,286985500.0,13.390565,18.997404,11.509759,0.0,5.8907237,0.0,5.9693055,9.694447,4.9839787,0.0,0.0,60.66367,42.31611,25.073786,32.05933,23.79194,5.9693055,0.0,9.883888,0.0,26.496197,26.303276,17.203688,4.736863,0.0,5.7495117,0.0,47.262997,29.10386,6.923737,11.454175,85.03,5.9693055,9.901065,0.0,6.5447564,45.221703,33.894043,0.0,0.0,96.752785,4.9839787,13.890877,17.816158,9.303104,3.9417155,1.308934,0.63818365,4.353261,0.0,1.0,0.0,0.0,1.0,7.0,0.0,5.37492,5.34
11.799329,0.11045348,-1.081022,0.448614,15.69697,447.491,1.060606,16.490517,-2.445477,5.9332094,-0.1327106,2.779085,1.3214157,26906434.0,9.601758,25.21383,11.499023,0.0,0.0,0.0,12.00042,4.9839787,9.589074,0.0,0.0,24.265469,43.676395,29.26438,30.34541,24.169327,22.903345,0.0,15.617556,0.0,26.310137,13.213764,11.499023,20.107304,4.794537,11.499023,0.0,35.30469,4.794537,6.923737,10.902925,109.78,18.042261,14.695601,0.0,5.5731044,36.64459,22.346365,0.0,31.189205,37.255573,15.617556,9.473726,27.94569,15.646175,2.9131444,0.38272566,0.6873963,4.478337,0.0,3.0,0.0,1.0,1.0,8.0,0.0,4.10362,6.12
13.212908,0.00083769,-3.8190713,0.58536,13.90625,470.934,0.96875,35.495693,-2.3557715,7.8871784,0.06977126,2.7941046,1.5868673,15396455.0,8.738936,10.423316,0.0,0.0,10.023292,5.90718,5.9693055,4.794537,13.212335,4.305216,0.0,41.932774,53.945927,23.675598,16.14632,23.1134,39.188103,0.0,4.305216,0.0,17.861061,11.861545,0.0,5.3167887,5.6873865,0.0,11.60094,36.250782,22.988869,0.0,0.0,103.78,21.899776,23.1134,0.0,33.27716,12.965578,11.126903,46.769787,0.0,24.265469,5.3167887,11.60094,24.192133,12.082385,2.077424,-1.8746569,0.6151906,0.6152718,-3.8190713,2.0,0.0,1.0,0.0,9.0,0.0,4.0375,5.4
13.229787,0.111056484,-0.9337576,0.2130885,13.731708,543.667,0.9756098,16.365679,-2.2692027,5.992456,0.069707185,3.8194582,1.2172095,3605870600.0,10.694241,14.990416,0.0,0.0,0.0,5.90718,5.9693055,9.778516,4.794537,0.0,0.0,48.530937,92.26486,40.316895,17.299221,14.695601,22.77941,0.0,14.8678665,0.0,52.11736,0.0,11.126903,5.3167887,0.0,0.0,0.0,26.53409,6.5447564,13.847474,22.029827,84.22,5.9693055,14.695601,0.0,11.94902,29.153017,44.675064,12.841643,12.132734,73.65378,29.79773,4.9839787,29.676708,13.74562,8.983305,-0.47342482,2.393357,6.8475447,0.0,2.0,1.0,0.0,2.0,6.0,0.0,7.43504,7.72
13.235335,0.03944947,-3.9135535,0.5043197,13.848485,486.933,1.030303,35.495693,-2.3563836,7.887181,0.0697698,2.7975256,1.5905114,22286656.0,8.855659,15.529843,5.7495117,0.0,10.023292,5.90718,5.9693055,4.794537,13.212335,4.305216,0.0,29.800041,60.012295,23.675598,16.14632,28.219927,39.188103,0.0,4.305216,0.0,17.861061,11.861545,5.7495117,5.3167887,5.6873865,5.7495117,11.60094,41.357307,22.988869,0.0,0.0,124.01,21.899776,28.219927,0.0,45.57143,6.4208217,11.126903,46.769787,18.1991,0.0,5.3167887,11.60094,24.146315,22.040384,1.3627989,-1.7801152,0.37097767,0.29693848,-3.9135535,3.0,0.0,1.0,0.0,10.0,0.0,3.7431,5.3
13.041746,0.032350767,-0.93335414,0.24860539,11.810811,488.587,0.8378378,16.365597,-2.276041,5.9807444,0.06962635,3.339475,1.3754503,382791200.0,10.543391,14.990416,0.0,0.0,0.0,5.90718,5.9693055,4.794537,4.794537,0.0,0.0,73.65378,65.07283,29.207977,11.605292,14.695601,22.77941,0.0,9.883888,0.0,25.931156,0.0,11.126903,5.3167887,0.0,0.0,0.0,21.550112,6.5447564,0.0,22.029827,71.33,5.9693055,14.695601,0.0,17.512472,12.108208,39.577553,0.0,12.132734,85.059616,28.94036,0.0,24.26407,13.373829,6.205409,-1.0162185,2.849496,2.7196658,0.0,2.0,0.0,0.0,1.0,5.0,0.0,6.9359,8.0
11.714059,0.34696797,-0.9133921,0.28925186,14.382353,477.582,1.2058823,32.133446,-2.269069,7.1700277,-0.15010145,3.395104,1.2494915,89278850.0,9.991559,18.997404,11.509759,6.103966,5.8907237,0.0,5.9693055,0.0,9.778516,0.0,11.336786,24.265469,60.89227,28.49124,18.907692,23.79194,27.392235,0.0,4.9839787,5.9179063,38.71099,13.213764,17.203688,4.736863,0.0,5.7495117,11.336786,35.37754,22.373043,12.841643,21.54032,81.79,12.073272,9.901065,0.0,0.0,37.864037,51.258377,0.0,11.336786,60.834736,4.9839787,13.890877,16.360964,12.612211,2.808942,1.8140814,2.4181728,2.9148352,0.0,1.0,1.0,0.0,2.0,7.0,0.0,5.90852,8.7
